Current learning rate: 0.001
Epoch: [0][  0/383]	Loss 1.9587 (1.9587)	Accuracy 16.406 (16.406)
Epoch: [0][ 10/383]	Loss 1.9739 (1.9503)	Accuracy 11.719 (16.477)
Epoch: [0][ 20/383]	Loss 1.9007 (1.9387)	Accuracy 20.312 (18.378)
Epoch: [0][ 30/383]	Loss 1.9401 (1.9386)	Accuracy 16.406 (18.574)
Epoch: [0][ 40/383]	Loss 1.9245 (1.9317)	Accuracy 17.188 (18.788)
Epoch: [0][ 50/383]	Loss 1.9318 (1.9269)	Accuracy 17.188 (18.811)
Epoch: [0][ 60/383]	Loss 1.8955 (1.9220)	Accuracy 24.219 (19.608)
Epoch: [0][ 70/383]	Loss 1.9018 (1.9185)	Accuracy 23.438 (20.081)
Epoch: [0][ 80/383]	Loss 1.8798 (1.9141)	Accuracy 19.531 (20.525)
Epoch: [0][ 90/383]	Loss 1.9266 (1.9107)	Accuracy 24.219 (20.974)
Epoch: [0][100/383]	Loss 1.8649 (1.9064)	Accuracy 22.656 (21.426)
Epoch: [0][110/383]	Loss 1.9238 (1.9043)	Accuracy 21.875 (21.741)
Epoch: [0][120/383]	Loss 1.8768 (1.9009)	Accuracy 22.656 (21.998)
Epoch: [0][130/383]	Loss 1.8435 (1.8973)	Accuracy 25.781 (22.298)
Epoch: [0][140/383]	Loss 1.9206 (1.8963)	Accuracy 21.875 (22.291)
Epoch: [0][150/383]	Loss 1.8740 (1.8951)	Accuracy 25.000 (22.434)
Epoch: [0][160/383]	Loss 1.8512 (1.8917)	Accuracy 24.219 (22.700)
Epoch: [0][170/383]	Loss 1.8420 (1.8894)	Accuracy 28.906 (22.885)
Epoch: [0][180/383]	Loss 1.8605 (1.8867)	Accuracy 24.219 (23.027)
Epoch: [0][190/383]	Loss 1.8464 (1.8836)	Accuracy 27.344 (23.262)
Epoch: [0][200/383]	Loss 1.7694 (1.8801)	Accuracy 28.906 (23.546)
Epoch: [0][210/383]	Loss 1.8693 (1.8779)	Accuracy 25.000 (23.667)
Epoch: [0][220/383]	Loss 1.8079 (1.8756)	Accuracy 28.906 (23.862)
Epoch: [0][230/383]	Loss 1.8259 (1.8736)	Accuracy 32.031 (24.006)
Epoch: [0][240/383]	Loss 1.7556 (1.8711)	Accuracy 28.906 (24.177)
Epoch: [0][250/383]	Loss 1.7699 (1.8687)	Accuracy 28.906 (24.297)
Epoch: [0][260/383]	Loss 1.8282 (1.8665)	Accuracy 26.562 (24.470)
Epoch: [0][270/383]	Loss 1.8223 (1.8647)	Accuracy 27.344 (24.568)
