Current learning rate: 0.001
Epoch: [0][  0/192]	Loss 0.2735 (0.2735)	Accuracy 15.234 (15.234)
Epoch: [0][ 10/192]	Loss 0.1962 (0.2218)	Accuracy 14.453 (14.240)
Epoch: [0][ 20/192]	Loss 0.1934 (0.2111)	Accuracy 15.625 (14.546)
Epoch: [0][ 30/192]	Loss 0.1927 (0.2039)	Accuracy 14.844 (14.100)
Epoch: [0][ 40/192]	Loss 0.1820 (0.1995)	Accuracy 17.969 (14.310)
Epoch: [0][ 50/192]	Loss 0.1805 (0.1965)	Accuracy 14.844 (14.407)
Epoch: [0][ 60/192]	Loss 0.1810 (0.1940)	Accuracy 14.453 (14.408)
Epoch: [0][ 70/192]	Loss 0.1859 (0.1918)	Accuracy 14.453 (14.145)
Epoch: [0][ 80/192]	Loss 0.1841 (0.1902)	Accuracy 13.281 (14.116)
Epoch: [0][ 90/192]	Loss 0.1816 (0.1887)	Accuracy 14.844 (14.307)
Epoch: [0][100/192]	Loss 0.1780 (0.1878)	Accuracy 14.062 (14.283)
Epoch: [0][110/192]	Loss 0.1699 (0.1870)	Accuracy 13.672 (14.277)
Epoch: [0][120/192]	Loss 0.1803 (0.1863)	Accuracy 17.188 (14.295)
Epoch: [0][130/192]	Loss 0.1750 (0.1855)	Accuracy 13.281 (14.313)
Epoch: [0][140/192]	Loss 0.1771 (0.1849)	Accuracy 18.359 (14.340)
Epoch: [0][150/192]	Loss 0.1760 (0.1842)	Accuracy 13.672 (14.311)
Epoch: [0][160/192]	Loss 0.1806 (0.1837)	Accuracy 11.719 (14.242)
Epoch: [0][170/192]	Loss 0.1666 (0.1830)	Accuracy 14.062 (14.273)
Epoch: [0][180/192]	Loss 0.1826 (0.1826)	Accuracy 15.625 (14.324)
Epoch: [0][190/192]	Loss 0.1743 (0.1822)	Accuracy 15.234 (14.326)
Test: [ 0/82]	Loss 1.2935 (1.2935)	Accuracy 34.375 (34.375)
Test: [10/82]	Loss 1.8291 (1.6036)	Accuracy 13.672 (20.561)
Test: [20/82]	Loss 2.9334 (2.2309)	Accuracy  5.078 (14.788)
Test: [30/82]	Loss 1.2388 (1.9822)	Accuracy 52.734 (23.879)
Test: [40/82]	Loss 3.5599 (2.1832)	Accuracy  0.000 (25.105)
Test: [50/82]	Loss 5.0902 (2.5699)	Accuracy  0.000 (20.435)
Test: [60/82]	Loss 4.6546 (2.8995)	Accuracy  0.000 (17.130)
Test: [70/82]	Loss 2.9392 (3.0398)	Accuracy 12.500 (14.921)
Test: [80/82]	Loss 2.7018 (2.9498)	Accuracy  8.594 (15.119)
 * Accuracy 15.139
Current best accuracy: 15.139100074768066
